AIRCRAFT,PHASE_OF_FLIGHT,SPECIES,TIME_OF_DAY,HEIGHT,DAMAGE_SEVERITY
UNKNOWN,Take-off run,Black-tailed jackrabbit,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,100,0
UNKNOWN,Approach,Lincoln's sparrow,UNKNOWN,100,0
UNKNOWN,nan,Swainson's hawk,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1500,0
UNKNOWN,Landing Roll,Yellow bittern,UNKNOWN,0,0
UNKNOWN,Landing Roll,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Climb,Turkey vulture,UNKNOWN,800,1
UNKNOWN,nan,California gull,UNKNOWN,-1,0
UNKNOWN,Approach,Bald eagle,UNKNOWN,100,0
UNKNOWN,nan,Eastern meadowlark,UNKNOWN,-1,0
UNKNOWN,Take-off run,Mourning dove,UNKNOWN,0,0
UNKNOWN,nan,Turtles,UNKNOWN,-1,0
UNKNOWN,Landing Roll,European starling,UNKNOWN,0,0
UNKNOWN,Approach,Red-eyed vireo,UNKNOWN,4000,0
UNKNOWN,Take-off run,Unknown bird,UNKNOWN,0,0
UNKNOWN,CLIMB,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,European starling,UNKNOWN,50,0
UNKNOWN,Climb,Vaux's swift,UNKNOWN,300,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1000,0
UNKNOWN,Landing Roll,Tree swallow,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,600,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,8500,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Climb,Black vulture,UNKNOWN,500,2
UNKNOWN,En Route,Unknown bird - small,UNKNOWN,1500,0
UNKNOWN,nan,Cliff swallow,UNKNOWN,-1,0
UNKNOWN,Take-off run,American kestrel,UNKNOWN,0,0
UNKNOWN,Descent,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Climb,Barn swallow,UNKNOWN,1500,0
UNKNOWN,Approach,House finch,UNKNOWN,200,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,6000,1
UNKNOWN,Approach,Gulls,UNKNOWN,500,0
UNKNOWN,En Route,Unknown bird - large,UNKNOWN,600,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,1500,0
UNKNOWN,nan,Rock pigeon,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Gulls,UNKNOWN,300,0
UNKNOWN,nan,Common grackle,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,20,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,400,0
UNKNOWN,nan,Ring-billed gull,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,200,0
UNKNOWN,Take-off run,Coyote,UNKNOWN,0,0
UNKNOWN,Take-off run,"Sandpipers, curlews, phalaropes, allies",UNKNOWN,0,0
UNKNOWN,Approach,Rock pigeon,UNKNOWN,15,0
UNKNOWN,Climb,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,3000,0
UNKNOWN,Climb,Gulls,UNKNOWN,100,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Approach,Killdeer,UNKNOWN,4400,1
UNKNOWN,nan,Common snapping turtle,UNKNOWN,-1,0
UNKNOWN,Climb,Bald eagle,UNKNOWN,100,0
UNKNOWN,Approach,Lark sparrow,UNKNOWN,7000,0
UNKNOWN,nan,Tree swallow,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,3000,0
UNKNOWN,nan,Snowy owl,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,6000,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1000,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Landing Roll,Doves,UNKNOWN,0,0
UNKNOWN,Landing Roll,Barn swallow,UNKNOWN,0,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,400,0
UNKNOWN,Approach,Mourning dove,UNKNOWN,50,0
UNKNOWN,Climb,Unknown bird - large,UNKNOWN,2500,1
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,3000,0
UNKNOWN,Landing Roll,Barn owl,UNKNOWN,0,0
UNKNOWN,nan,Glaucous-winged gull,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,700,0
UNKNOWN,nan,Canada goose,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,3000,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,2
UNKNOWN,nan,American black duck,UNKNOWN,-1,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,nan,Golden-crowned kinglet,UNKNOWN,-1,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Approach,Dark-eyed junco,UNKNOWN,2000,0
UNKNOWN,Landing Roll,Killdeer,UNKNOWN,0,0
UNKNOWN,nan,Chestnut munia,UNKNOWN,-1,0
UNKNOWN,nan,European starling,UNKNOWN,-1,0
UNKNOWN,Approach,Ring-billed gull,UNKNOWN,1500,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Wood thrush,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Laughing gull,UNKNOWN,0,0
UNKNOWN,Landing Roll,Killdeer,UNKNOWN,0,0
UNKNOWN,TAKE-OFF RUN,Swallows,UNKNOWN,0,0
UNKNOWN,Climb,Unknown bird,UNKNOWN,9400,0
UNKNOWN,nan,Great horned owl,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Horned lark,UNKNOWN,0,0
UNKNOWN,nan,Upland sandpiper,UNKNOWN,-1,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Yellow-throated warbler,UNKNOWN,-1,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Eastern meadowlark,UNKNOWN,-1,0
UNKNOWN,nan,Little brown bat,UNKNOWN,-1,0
UNKNOWN,En Route,Unknown bird - small,UNKNOWN,500,0
UNKNOWN,Landing Roll,Rock pigeon,UNKNOWN,0,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,800,0
UNKNOWN,nan,Dark-eyed junco,UNKNOWN,-1,0
UNKNOWN,LANDING ROLL,Unknown bird,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,100,0
UNKNOWN,Landing Roll,Coyote,UNKNOWN,0,0
UNKNOWN,Climb,Barn swallow,UNKNOWN,20,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Barn owl,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird,UNKNOWN,6000,0
UNKNOWN,Landing Roll,American kestrel,UNKNOWN,0,0
UNKNOWN,nan,Eastern meadowlark,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,15,0
UNKNOWN,Approach,Red-winged blackbird,UNKNOWN,400,0
UNKNOWN,Approach,Canada goose,UNKNOWN,150,1
UNKNOWN,Landing Roll,Bank swallow,UNKNOWN,0,0
UNKNOWN,Landing Roll,Barn owl,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,2500,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,nan,Western meadowlark,UNKNOWN,-1,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,nan,American robin,UNKNOWN,-1,0
UNKNOWN,nan,Blackbirds,UNKNOWN,-1,0
UNKNOWN,nan,Blackburnian warbler,UNKNOWN,-1,0
UNKNOWN,nan,Savannah sparrow,UNKNOWN,-1,0
UNKNOWN,nan,Common pauraque,UNKNOWN,-1,0
UNKNOWN,Take-off run,Swallows,UNKNOWN,0,0
UNKNOWN,Climb,Unknown bird - large,UNKNOWN,8500,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,3300,0
UNKNOWN,nan,Magnolia warbler,UNKNOWN,-1,0
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,4400,0
UNKNOWN,nan,Common nighthawk,UNKNOWN,-1,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,Local,Unknown bird,UNKNOWN,1500,0
UNKNOWN,Approach,Blackbirds,UNKNOWN,500,0
UNKNOWN,Approach,Turkey vulture,UNKNOWN,10,0
UNKNOWN,nan,Canada goose,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Western meadowlark,UNKNOWN,0,0
UNKNOWN,Approach,Cedar waxwing,UNKNOWN,100,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1500,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,7200,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird - large,UNKNOWN,3000,1
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Approach,Bald eagle,UNKNOWN,-1,0
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,400,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,3500,0
UNKNOWN,nan,Gray catbird,UNKNOWN,-1,0
UNKNOWN,Approach,Cedar waxwing,UNKNOWN,2000,0
UNKNOWN,Landing Roll,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Take-off run,Mourning dove,UNKNOWN,0,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Eastern meadowlark,UNKNOWN,-1,0
UNKNOWN,Approach,Barn swallow,UNKNOWN,-1,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,DEPARTURE,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Least sandpiper,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Red-tailed hawk,UNKNOWN,0,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Yellow-throated warbler,UNKNOWN,5000,0
UNKNOWN,nan,Northern harrier,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,2700,0
UNKNOWN,Climb,Northern shoveler,UNKNOWN,3000,2
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Take-off run,Ring-billed gull,UNKNOWN,0,0
UNKNOWN,Take-off run,White-tailed jackrabbit,UNKNOWN,0,0
UNKNOWN,nan,Snowy owl,UNKNOWN,-1,0
UNKNOWN,Climb,Barn swallow,UNKNOWN,200,0
UNKNOWN,Landing Roll,Barn swallow,UNKNOWN,0,0
UNKNOWN,Landing Roll,Chimney swift,UNKNOWN,0,0
UNKNOWN,Climb,Unknown bird - medium,UNKNOWN,5000,1
UNKNOWN,Landing Roll,Rock pigeon,UNKNOWN,0,0
UNKNOWN,Take-off run,Killdeer,UNKNOWN,0,0
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,Climb,Barn swallow,UNKNOWN,100,0
UNKNOWN,APPROACH,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Descent,Unknown bird - small,UNKNOWN,10000,0
UNKNOWN,nan,Rock pigeon,UNKNOWN,-1,0
UNKNOWN,Approach,House finch,UNKNOWN,150,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,5000,0
UNKNOWN,Approach,Barn swallow,UNKNOWN,200,0
UNKNOWN,nan,House finch,UNKNOWN,-1,0
UNKNOWN,Take-off run,Common myna,UNKNOWN,0,0
UNKNOWN,Take-off run,Killdeer,UNKNOWN,0,0
UNKNOWN,Climb,Killdeer,UNKNOWN,100,0
UNKNOWN,En Route,Unknown bird - medium,UNKNOWN,900,0
UNKNOWN,Climb,Unknown bird,UNKNOWN,150,0
UNKNOWN,Approach,Winter wren,UNKNOWN,1000,0
UNKNOWN,Take-off run,Ring-billed gull,UNKNOWN,0,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Take-off run,Eastern meadowlark,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Eastern meadowlark,UNKNOWN,0,0
UNKNOWN,Landing Roll,Horned lark,UNKNOWN,0,0
UNKNOWN,nan,Bank swallow,UNKNOWN,-1,0
UNKNOWN,nan,Western kingbird,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Approach,Common yellowthroat,UNKNOWN,1700,0
UNKNOWN,Approach,Gulls,UNKNOWN,10,0
UNKNOWN,Approach,Perching birds (y),UNKNOWN,1000,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,5,0
UNKNOWN,nan,Ring-billed gull,UNKNOWN,-1,0
UNKNOWN,nan,Rock pigeon,UNKNOWN,-1,0
UNKNOWN,Approach,Red-eyed vireo,UNKNOWN,800,0
UNKNOWN,Landing Roll,Red fox,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,2000,0
UNKNOWN,En Route,Unknown bird - small,UNKNOWN,300,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1400,0
UNKNOWN,nan,Scissor-tailed flycatcher,UNKNOWN,-1,0
UNKNOWN,nan,Grasshopper sparrow,UNKNOWN,-1,0
UNKNOWN,Climb,Mallard,UNKNOWN,90,2
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,5000,0
UNKNOWN,nan,European starling,UNKNOWN,-1,0
UNKNOWN,nan,Scissor-tailed flycatcher,UNKNOWN,-1,0
UNKNOWN,nan,Barn owl,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,4100,0
UNKNOWN,Approach,Common yellowthroat,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,4400,0
UNKNOWN,Climb,Redhead,UNKNOWN,1500,2
UNKNOWN,Landing Roll,Eastern meadowlark,UNKNOWN,0,0
UNKNOWN,Take-off run,Unknown bird - medium,UNKNOWN,0,0
UNKNOWN,Approach,Killdeer,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Gray-cheeked thrush,UNKNOWN,-1,0
UNKNOWN,nan,Sora,UNKNOWN,-1,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,600,0
UNKNOWN,Take-off run,Unknown bird,UNKNOWN,0,0
UNKNOWN,nan,Cliff swallow,UNKNOWN,-1,0
UNKNOWN,nan,Yellow warbler,UNKNOWN,-1,0
UNKNOWN,Climb,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,nan,Red-tailed hawk,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,3400,0
UNKNOWN,Landing Roll,Swallows,UNKNOWN,0,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Rock pigeon,UNKNOWN,-1,0
UNKNOWN,nan,Gray-cheeked thrush,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,Take-off run,Snowy owl,UNKNOWN,0,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Horned lark,UNKNOWN,-1,0
UNKNOWN,Approach,American crow,UNKNOWN,300,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,3300,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Red-winged blackbird,UNKNOWN,-1,0
UNKNOWN,Arrival,American kestrel,UNKNOWN,-1,0
UNKNOWN,nan,Peregrine falcon,UNKNOWN,-1,0
UNKNOWN,DEPARTURE,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Cliff swallow,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,2000,0
UNKNOWN,Landing Roll,Unknown bird,UNKNOWN,0,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Climb,Barn swallow,UNKNOWN,25,0
UNKNOWN,nan,Red-winged blackbird,UNKNOWN,-1,0
UNKNOWN,nan,Black-tailed jackrabbit,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,300,0
UNKNOWN,Landing Roll,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,nan,Barn owl,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Blackbirds,UNKNOWN,0,0
UNKNOWN,Descent,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1000,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Osprey,UNKNOWN,0,0
UNKNOWN,nan,Striped skunk,UNKNOWN,-1,0
UNKNOWN,Take-off run,Barn swallow,UNKNOWN,0,0
UNKNOWN,Climb,Unknown bird - medium,UNKNOWN,300,0
UNKNOWN,Landing Roll,Killdeer,UNKNOWN,0,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,nan,Microbats,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Northern mockingbird,UNKNOWN,0,0
UNKNOWN,nan,Chimney swift,UNKNOWN,-1,0
UNKNOWN,Take-off run,Red-winged blackbird,UNKNOWN,0,0
UNKNOWN,Approach,Barn swallow,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Approach,Little tern,UNKNOWN,-1,0
UNKNOWN,nan,Laughing gull,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,500,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1250,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Unknown bird,UNKNOWN,0,0
UNKNOWN,Landing Roll,Horned lark,UNKNOWN,0,0
UNKNOWN,nan,Eastern meadowlark,UNKNOWN,-1,0
UNKNOWN,nan,Least sandpiper,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Red-tailed hawk,UNKNOWN,-1,2
UNKNOWN,Climb,Mourning dove,UNKNOWN,100,0
UNKNOWN,nan,Virginia opossum,UNKNOWN,-1,0
UNKNOWN,Climb,Horned lark,UNKNOWN,200,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,300,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,2700,0
UNKNOWN,Take-off run,Swallows,UNKNOWN,0,0
UNKNOWN,nan,Savannah sparrow,UNKNOWN,-1,0
UNKNOWN,nan,White-throated sparrow,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,100,0
UNKNOWN,nan,Chimney swift,UNKNOWN,-1,0
UNKNOWN,Approach,Ring-billed gull,UNKNOWN,75,0
UNKNOWN,Take-off run,Egrets,UNKNOWN,0,0
UNKNOWN,nan,Rock pigeon,UNKNOWN,-1,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,nan,White-crowned sparrow,UNKNOWN,-1,1
UNKNOWN,nan,American robin,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,Swallows,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,5000,0
UNKNOWN,Take-off run,Crested caracara,UNKNOWN,0,0
UNKNOWN,Approach,Sparrows,UNKNOWN,5,0
UNKNOWN,nan,Osprey,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Killdeer,UNKNOWN,0,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,nan,Long-eared myotis,UNKNOWN,-1,0
UNKNOWN,Approach,Mourning dove,UNKNOWN,200,0
UNKNOWN,Take-off run,Boat-tailed grackle,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1700,0
UNKNOWN,En Route,Unknown bird - large,UNKNOWN,3000,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Red-breasted merganser,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Landing Roll,White-tailed deer,UNKNOWN,0,1
UNKNOWN,Take-off run,Western kingbird,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,nan,Glaucous-winged gull,UNKNOWN,-1,0
UNKNOWN,Climb,Sparrows,UNKNOWN,50,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Unknown bird,UNKNOWN,0,0
UNKNOWN,Approach,Pine grosbeak,UNKNOWN,2000,0
UNKNOWN,nan,European starling,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,400,0
UNKNOWN,Approach,Ruddy duck,UNKNOWN,1200,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Climb,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Take-off run,Gulls,UNKNOWN,0,0
UNKNOWN,Approach,Yellow-rumped warbler,UNKNOWN,-1,0
UNKNOWN,Approach,American robin,UNKNOWN,3000,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,1
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,100,0
UNKNOWN,Landing Roll,American kestrel,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird,UNKNOWN,-1,0
